#ip,ioc
182.92.102.71,Possible Cobaltstrike C2 IP
182.92.177.195,Possible Cobaltstrike C2 IP
182.92.238.31,Possible Cobaltstrike C2 IP
182.92.62.55,Possible Cobaltstrike C2 IP
185.143.223.212,Possible Cobaltstrike C2 IP
185.161.211.17,Possible Cobaltstrike C2 IP
185.163.116.210,Possible Powershell Empire C2 IP
185.196.9.241,Possible Cobaltstrike C2 IP
185.227.82.25,Possible Metasploit C2 IP
185.234.216.64,Possible PoshC2 IP
185.235.138.63,Possible Cobaltstrike C2 IP
185.254.97.17,Possible Cobaltstrike C2 IP
185.3.45.6,Possible Cobaltstrike C2 IP
185.32.126.51,Possible Cobaltstrike C2 IP
186.64.113.28,Possible Cobaltstrike C2 IP
188.121.110.191,Possible Cobaltstrike C2 IP
190.123.44.150,Possible Cobaltstrike C2 IP
192.144.219.118,Possible Cobaltstrike C2 IP
192.144.231.110,Possible Cobaltstrike C2 IP
192.248.177.82,Possible Cobaltstrike C2 IP
193.117.208.109,Possible Metasploit C2 IP
193.201.9.82,Possible Cobaltstrike C2 IP
193.222.96.34,Possible Cobaltstrike C2 IP
193.37.69.48,Possible Cobaltstrike C2 IP
194.135.17.31,Possible Cobaltstrike C2 IP
194.32.149.239,Possible Cobaltstrike C2 IP
194.36.209.24,Possible Cobaltstrike C2 IP
194.67.208.247,Possible Metasploit C2 IP
195.201.43.239,Possible Metasploit C2 IP
195.246.230.231,Possible Cobaltstrike C2 IP
195.25.243.89,Possible Cobaltstrike C2 IP
198.44.184.235,Possible Cobaltstrike C2 IP
198.98.62.30,Possible Cobaltstrike C2 IP
199.195.251.219,Possible Cobaltstrike C2 IP
2.57.149.94,Possible Cobaltstrike C2 IP
20.120.177.99,Possible Cobaltstrike C2 IP
20.124.232.200,Possible Cobaltstrike C2 IP
20.15.227.53,Possible Cobaltstrike C2 IP
20.250.1.56,Possible Cobaltstrike C2 IP
20.42.56.4,Possible Cobaltstrike C2 IP
20.49.255.240,Possible Cobaltstrike C2 IP
20.51.226.216,Possible Cobaltstrike C2 IP
20.64.84.1,Possible Cobaltstrike C2 IP
20.84.85.131,Possible Metasploit C2 IP
20.94.177.31,Possible Cobaltstrike C2 IP
202.95.15.23,Possible Cobaltstrike C2 IP
203.24.92.243,Possible Cobaltstrike C2 IP
204.10.120.109,Possible Cobaltstrike C2 IP
206.204.132.178,Possible Metasploit C2 IP
206.233.133.127,Possible Metasploit C2 IP
206.237.30.76,Possible Cobaltstrike C2 IP
208.85.19.189,Possible Cobaltstrike C2 IP
208.87.206.205,Possible Cobaltstrike C2 IP
211.159.173.202,Possible Cobaltstrike C2 IP
213.139.205.174,Possible Metasploit C2 IP
213.226.123.124,Possible Cobaltstrike C2 IP
213.61.251.56,Possible Cobaltstrike C2 IP
216.120.201.106,Possible Cobaltstrike C2 IP
216.224.123.241,Possible Cobaltstrike C2 IP
219.151.137.59,Possible Cobaltstrike C2 IP
220.181.164.249,Possible Cobaltstrike C2 IP
220.181.164.252,Possible Cobaltstrike C2 IP
221.150.72.75,Possible Cobaltstrike C2 IP
221.160.250.219,Possible Cobaltstrike C2 IP
23.137.249.62,Possible Metasploit C2 IP
23.137.253.63,Possible Metasploit C2 IP
23.251.32.24,Possible Cobaltstrike C2 IP
23.94.76.46,Possible Cobaltstrike C2 IP
23.94.77.121,Possible Cobaltstrike C2 IP
23.95.44.80,Possible Cobaltstrike C2 IP
23.98.137.196,Possible Cobaltstrike C2 IP
3.238.221.34,Possible Metasploit C2 IP
3.72.68.180,Possible Cobaltstrike C2 IP
31.170.22.88,Possible Metasploit C2 IP
31.44.184.232,Possible Cobaltstrike C2 IP
31.44.184.241,Possible Cobaltstrike C2 IP
31.44.184.63,Possible Cobaltstrike C2 IP
31.44.184.73,Possible Cobaltstrike C2 IP
31.44.184.82,Possible Cobaltstrike C2 IP
34.92.85.53,Possible Cobaltstrike C2 IP
35.77.79.179,Possible Cobaltstrike C2 IP
35.78.175.21,Possible Cobaltstrike C2 IP
36.110.138.149,Possible Cobaltstrike C2 IP
38.147.189.9,Possible Cobaltstrike C2 IP
38.180.78.177,Possible Cobaltstrike C2 IP
38.207.179.24,Possible Cobaltstrike C2 IP
38.54.45.144,Possible Cobaltstrike C2 IP
39.100.105.247,Possible Cobaltstrike C2 IP
39.100.77.97,Possible Cobaltstrike C2 IP
39.100.78.58,Possible Cobaltstrike C2 IP
39.100.83.53,Possible Cobaltstrike C2 IP
39.101.150.221,Possible Cobaltstrike C2 IP
39.101.198.2,Possible Cobaltstrike C2 IP
39.101.77.24,Possible Cobaltstrike C2 IP
39.102.32.121,Possible Cobaltstrike C2 IP
39.104.81.101,Possible Cobaltstrike C2 IP
39.105.107.87,Possible Cobaltstrike C2 IP
39.105.143.177,Possible Cobaltstrike C2 IP
39.105.191.1,Possible Cobaltstrike C2 IP
39.105.201.3,Possible Cobaltstrike C2 IP
39.106.75.77,Possible Cobaltstrike C2 IP
39.107.107.245,Possible Cobaltstrike C2 IP
39.107.70.26,Possible Cobaltstrike C2 IP
39.108.104.62,Possible Cobaltstrike C2 IP
39.108.248.6,Possible Cobaltstrike C2 IP
39.96.85.37,Possible Cobaltstrike C2 IP
39.98.157.4,Possible Cobaltstrike C2 IP
4.156.171.17,Possible Cobaltstrike C2 IP
40.68.33.185,Possible Metasploit C2 IP
40.77.86.17,Possible Cobaltstrike C2 IP
42.123.125.151,Possible Cobaltstrike C2 IP
42.192.229.143,Possible Cobaltstrike C2 IP
42.192.37.72,Possible Cobaltstrike C2 IP
42.192.38.240,Possible Cobaltstrike C2 IP
42.193.14.173,Possible Cobaltstrike C2 IP
42.193.44.136,Possible Cobaltstrike C2 IP
42.193.98.44,Possible Cobaltstrike C2 IP
42.194.142.142,Possible Cobaltstrike C2 IP
42.194.249.55,Possible Cobaltstrike C2 IP
43.129.230.195,Possible Cobaltstrike C2 IP
43.129.249.115,Possible Cobaltstrike C2 IP
43.134.228.170,Possible Cobaltstrike C2 IP
43.134.23.107,Possible Cobaltstrike C2 IP
43.134.233.227,Possible Cobaltstrike C2 IP
43.134.57.109,Possible Cobaltstrike C2 IP
43.136.113.152,Possible Cobaltstrike C2 IP
43.136.174.84,Possible Cobaltstrike C2 IP
43.136.185.137,Possible Cobaltstrike C2 IP
43.136.218.157,Possible Cobaltstrike C2 IP
43.136.40.179,Possible Cobaltstrike C2 IP
43.136.54.181,Possible Metasploit C2 IP
43.136.93.47,Possible Metasploit C2 IP
43.137.5.20,Possible Cobaltstrike C2 IP
43.138.10.232,Possible Cobaltstrike C2 IP
43.138.106.54,Possible Cobaltstrike C2 IP
43.138.150.136,Possible Cobaltstrike C2 IP
43.138.178.60,Possible Metasploit C2 IP
43.138.187.61,Possible Cobaltstrike C2 IP
43.138.20.240,Possible Cobaltstrike C2 IP
